municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 20:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 21:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 22:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-08 23:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 00:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 01:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 02:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 03:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 04:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 05:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 06:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 07:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 08:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 09:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 10:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 11:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 12:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 13:10:00.0;0,00;
SÃO JOSÉ DOS CAMPOS;354990499A;SP;Parque Tecnológico SJC (TESTES PLUVIO);-45,793449;-23,158132;2021-03-09 14:10:00.0;0,00;
